site_id,site_name,period,month_start_date,calendar_year,calendar_month,calendar_quarter,month_label,throughput_tonnes_actual,copper_production_tonnes_actual,copper_price_usd_per_lb_actual,unit_cost_usd_per_tonne_actual,revenue_proxy_usd_actual,ebitda_proxy_usd_actual,operating_cash_flow_proxy_usd_actual,free_cash_flow_proxy_usd_actual,critical_alert_count,warning_alert_count,overall_alert_level,primary_alert_metric,primary_alert_message,throughput_tonnes_variance_pct,copper_production_tonnes_variance_pct,unit_cost_usd_per_tonne_variance_pct,revenue_proxy_usd_variance_pct,ebitda_proxy_usd_variance_pct,downtime_hours_actual,stockpile_feed_pct_actual,site_production_gap_share_pct,top_cost_center,data_classification,sample_data_flag
demo_north_concentrator,Demo North Concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,234820,1445,3.9,18.486287369048632,11217001.181044614,6876051.181044614,6174051.181044614,4270051.181044614,5,1,critical,Copper Production,Copper Production is 6.4% below plan.,-0.012531539108494534,-0.06442880626942765,0.02987673365173444,-0.06983900746596645,-0.11740197178917401,57,0.0,0.4839165832387169,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-02,2025-02-01,2025,2,1,Feb 2025,236590,1527,3.97,17.85916564520901,12113696.819906939,7888396.819906939,7348396.819906939,5612396.819906939,1,3,critical,Head Grade,Head Grade is 3.2% below plan.,0.007194550872711793,-0.02737468286491014,0.006150177194873838,-0.027671919345163516,-0.0483261570472208,53,0.0,0.38138474979478326,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-03,2025-03-01,2025,3,1,Mar 2025,244800,1568,4.04,17.67892156862745,12672702.05626076,8344902.056260761,7966902.056260761,6286902.056260761,0,6,warning,Head Grade,Head Grade is 3.3% below plan.,-0.00020420665713702266,-0.032581913134172524,0.007345958326350482,-0.03285364496658914,-0.05236955068116702,53,0.0,0.41369581946816636,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-04,2025-04-01,2025,4,2,Apr 2025,250200,1670,4.12,17.574540367705836,13817162.973891031,9420012.973891031,9150012.973891031,7358012.973891031,1,0,critical,Working Capital Change,Working Capital Change is 25.0% above plan.,0.009685230024213076,-0.011426114556084157,0.007136983822684068,-0.006566033278085312,-0.017149116019934033,50,0.0,0.2597933434544641,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-05,2025-05-01,2025,5,2,May 2025,256810,1748,4.24,17.324675830380436,14909234.121384703,10460084.121384703,10244084.121384703,8396084.121384703,1,0,critical,Working Capital Change,Working Capital Change is 33.3% above plan.,3.8940809968847354e-05,-0.01864802304510878,-0.0014596063181305965,0.0011164205203475501,0.0021994952527522762,46,0.0,0.3457178898987091,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-06,2025-06-01,2025,6,2,Jun 2025,261690,1811,4.31,17.228208949520425,15716558.34952417,11208108.34952417,11046108.34952417,9086108.34952417,1,1,critical,Head Grade,Head Grade is 3.1% below plan.,0.009606481481481481,-0.01979759875850427,-0.001263249303163747,0.007169768697115622,0.00670337976329065,47,0.0,0.3463840361217613,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-07,2025-07-01,2025,7,3,Jul 2025,264740,1859,4.34,17.390269698572183,16291482.835136984,11687582.835136984,11579582.835136984,9563582.835136984,1,2,critical,Head Grade,Head Grade is 3.0% below plan.,0.007382039573820396,-0.021926276790801825,0.014009894960477238,0.0072360301532776216,0.0017277819750795259,48,0.0,0.3642175584194014,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-08,2025-08-01,2025,8,3,Aug 2025,265960,1919,4.37,17.17589111144533,16939902.075522713,12371802.075522713,12263802.075522713,10415802.075522713,1,0,critical,Working Capital Change,Working Capital Change is 100.0% above plan.,0.007424242424242424,-0.008181392304521185,0.007383642900019384,0.021178244131509934,0.02353007726562989,45,0.0,0.21448159991328153,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-09,2025-09-01,2025,9,3,Sep 2025,258000,1775,4.2,17.614922480620155,14988319.247970983,10443669.247970983,10227669.247970983,8323669.247970983,4,4,critical,Copper Production,Copper Production is 6.3% below plan.,-0.015116811726981219,-0.06312653610828761,0.027109182543449368,-0.06803190030428456,-0.09889320290448052,55,48.0,0.48694221785433534,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-10,2025-10-01,2025,10,4,Oct 2025,264600,1852,4.28,17.35374149659864,15954047.992482807,11362247.992482807,11092247.992482807,9356247.992482807,1,0,critical,Working Capital Change,Working Capital Change is 25.0% above plan.,0.001059322033898305,-0.01702320487631232,0.006013999802819752,0.0076611366542811525,0.00789630488325785,49,48.0,0.31458225563037906,Mine Operations,sample_demo_monthly_monitoring,True
